60:D0:2C:58:46:68	 YOUnion.SynergyWifi.com
60:D0:2C:E5:BA:98	 YounionStaff
60:D0:2C:25:B9:F8	 YOUnion.SynergyGuest.com
60:D0:2C:A5:B9:F8	 register.synergywifi.com
DA:31:34:D4:87:0F	 
60:D0:2C:A5:B6:B8	 register.synergywifi.com
18:4B:0D:76:6B:08	 YOUnion.SynergyWifi.com
60:D0:2C:25:BA:98	 YOUnion.SynergyGuest.com
60:D0:2C:A5:BA:98	 register.synergywifi.com
60:D0:2C:65:B9:F8	 YOUnion.SynergyWifi.com
DE:9F:DB:B2:65:CE	 Wilma
60:D0:2C:65:B6:B8	 YOUnion.SynergyWifi.com
18:4B:0D:76:67:58	 YOUnion.SynergyWifi.com
FE:A6:67:7D:8D:BB	 \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
02:15:99:B7:06:28	 DIRECT-KQSCX-3400
60:D0:2C:E5:B9:F8	 YounionStaff
A4:15:88:F9:9F:E2	 XFINITY
60:D0:2C:58:4A:C8	 YOUnion.SynergyWifi.com
A4:15:88:F9:9F:E3	 xfinitywifi
18:4B:0D:36:67:58	 YOUnion.SynergyGuest.com
60:D0:2C:25:B6:B8	 YOUnion.SynergyGuest.com
18:4B:0D:F6:67:58	 register.synergywifi.com
18:4B:0D:B6:67:58	 YounionStaff
A4:15:88:F9:9F:E4	 CableWiFi
60:D0:2C:E5:B6:B8	 YounionStaff
60:D0:2C:D8:4A:C8	 YounionStaff
60:D0:2C:58:44:48	 YOUnion.SynergyWifi.com
60:D0:2C:98:4A:C8	 register.synergywifi.com
60:D0:2C:18:4A:C8	 YOUnion.SynergyGuest.com
60:D0:2C:18:4A:A8	 YOUnion.SynergyGuest.com
28:7A:EE:B7:34:F2	 XFINITY
EE:9F:DB:B2:65:CE	 
60:D0:2C:25:A4:58	 YOUnion.SynergyGuest.com
DC:9F:DB:B2:65:CE	 Savco
60:D0:2C:58:4A:A8	 YOUnion.SynergyWifi.com
E2:55:7D:5C:F7:BF	 \x00\x00\x00\x00
60:D0:2C:E5:A4:58	 YounionStaff
E2:55:7D:5C:F7:B0	 \x00\x00\x00\x00\x00\x00\x00
60:D0:2C:98:4A:A8	 register.synergywifi.com
28:7A:EE:B7:34:F4	 CableWiFi
60:D0:2C:A5:A4:58	 register.synergywifi.com
60:D0:2C:65:BA:D8	 YOUnion.SynergyWifi.com
28:7A:EE:B7:34:F0	 
28:7A:EE:B7:34:F3	 xfinitywifi
60:D0:2C:D8:4A:A8	 YounionStaff
60:D0:2C:65:A4:58	 YOUnion.SynergyWifi.com
60:D0:2C:98:4B:28	 register.synergywifi.com
60:D0:2C:A5:BA:D8	 register.synergywifi.com
60:D0:2C:E5:BA:D8	 YounionStaff
60:D0:2C:25:BA:D8	 YOUnion.SynergyGuest.com
60:D0:2C:58:4B:28	 YOUnion.SynergyWifi.com
60:D0:2C:A5:A4:68	 register.synergywifi.com
60:D0:2C:D8:4B:28	 YounionStaff
60:D0:2C:18:4B:28	 YOUnion.SynergyGuest.com
60:D0:2C:65:A4:68	 YOUnion.SynergyWifi.com
60:D0:2C:25:A4:68	 YOUnion.SynergyGuest.com
60:D0:2C:E5:A4:68	 YounionStaff
60:D0:2C:98:44:48	 register.synergywifi.com
60:D0:2C:18:44:48	 YOUnion.SynergyGuest.com
00:0D:97:1B:46:55	 
60:D0:2C:D8:44:48	 YounionStaff
18:4B:0D:77:60:E8	 YOUnion.SynergyWifi.com
00:0D:67:00:ED:43	 2020WWRoamR
00:0D:97:0B:46:55	 
00:0D:67:00:ED:42	 2020WWRoam
00:25:00:FF:94:73	 
30:60:23:BD:D7:60	 
60:D0:2C:65:A4:6C	 
EC:58:EA:77:73:C8	 
38:17:C3:8F:EF:22	 TDA-BYOD
18:4B:0D:F7:58:C8	 register.synergywifi.com
18:4B:0D:37:58:C8	 YOUnion.SynergyGuest.com
