AC:81:12:E6:9A:BF	 Bodensee
0C:8D:DB:C4:62:BD	 
00:00:00:00:00:00	 
04:BD:88:4F:8C:A1	 
10:93:97:86:BB:10	 Cljmars
C8:52:61:96:F9:C0	 ATTdGkqepi
04:BD:88:4F:8E:20	 GTN
40:E3:D6:BB:ED:40	 GTN
40:E3:D6:BB:ED:41	 GoogleGuest-Legacy
F8:1E:DF:FA:73:6F	 Radio Penang
1C:49:7B:E6:28:E8	 SBG6700AC-9609C
EC:8E:B5:F7:F7:53	 DIRECT-52-HP OfficeJet 4650
FE:51:A4:26:AC:19	 
94:6A:77:B8:00:E0	 DinosaurEarth
C8:52:61:AB:81:30	 ATTQnruJPhj
FC:51:A4:26:AC:19	 Professor X
D4:B2:7A:40:DA:55	 ATT4b2sP8e
DC:7F:A4:A6:21:61	Blue & Gold 
7E:E1:03:47:A3:40	 
F0:9F:C2:61:D1:0F	 
02:71:47:C0:0F:95	 \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
00:25:00:FF:94:73	 
DC:7F:A4:CB:A2:45	 Jak is a Dog
E0:88:5D:45:3D:FF	 YGLHOME
B0:4E:26:55:50:E5	 Link
E2:88:5D:45:3D:F0	 \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
D4:B2:7A:B5:09:51	 ATT9xLH6uc
28:7A:EE:B6:43:90	 
28:7A:EE:B6:43:93	 xfinitywifi
F8:ED:A5:8D:21:90	 Alkayed
0C:EA:C9:54:51:C0	 ATTvkwev7i
28:C6:8E:82:01:5E	 NETGEAR82
DC:7F:A4:56:E2:25	 Go_Blue
8C:0F:6F:D7:FC:48	 CurlyGirlies
70:4F:B8:98:49:AE	 WIFI210
A2:0F:6F:D7:FC:48	 
10:05:B1:C2:F6:70	 WhatsADuHawk
72:95:51:B5:DA:C2	 
F4:0E:83:F8:07:74	 Peace
1A:A0:97:AE:B8:08	 
EE:34:26:1F:35:3A	 
AE:34:26:1F:35:3A	 xfinitywifi
10:05:01:2E:91:10	 AuBureauNeuf-2.4
DE:34:26:1F:35:3A	 
BE:34:26:1F:35:3A	 
4C:12:65:56:4B:05	 Michael Scott Paper Company
10:93:97:36:D1:60	 CallMeDaddy
92:95:51:B5:DA:C2	 
36:0E:83:F8:07:74	 
16:0E:83:F8:07:74	 
B6:7C:9C:F1:AC:25	 \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
C2:93:5B:25:7E:05	 xfinitywifi
1E:05:01:2E:91:10	 
9C:34:26:1F:35:3A	 Wolverine23
10:93:97:69:DF:E0	 Larry's WiFi
46:12:65:56:4B:05	 
0C:51:01:E7:40:6C	 Warr's Private Villa
56:12:65:56:4B:05	 
D4:B2:7A:0D:75:75	 ATT6GWQ4M8
88:71:B1:4F:0B:90	 Kiwi
D2:93:5B:25:7E:05	 
02:93:5B:25:7E:05	 
B0:93:5B:6C:C2:00	 LeMans24
C8:52:61:B1:A3:60	 NotYourWifi
F8:2C:18:97:90:29	 ATT3774Hha
1E:51:A4:26:AC:19	 
0E:51:A4:26:AC:19	 xfinitywifi
10:93:97:43:BB:B0	 Sculthorpe1
3E:51:A4:26:AC:19	 
4E:51:A4:26:AC:19	 
5C:8F:E0:3C:68:50	 North23
8A:71:B1:4F:0B:91	 Mochi
E4:71:85:50:A8:1C	 Bonics
4C:12:65:66:23:50	 1Deag
00:24:B1:03:1E:97	 0024b10000031e97
E0:22:02:05:D5:71	 ATT4A9zSz2
7E:8F:E0:3C:68:50	 
9E:8F:E0:3C:68:50	 
C8:52:61:AC:2D:D0	 ATTXXLS
F8:F5:32:E6:C8:40	 lindyisabel
F8:F5:32:AE:A0:80	 ATTeChqEDS
14:59:C0:66:8F:BB	 NETGEAR18
10:93:97:0B:5F:B0	 ATT2mjH7S2
08:05:81:CA:FD:C3	 \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
40:5D:82:20:61:67	 ATT0573
18:D6:C7:39:55:0D	 TP-LINK_550D
C8:52:61:69:22:C0	 2303att
E0:98:61:F8:68:86	 kodaboo
