FA:B4:6A:D9:D3:5E	 DIRECT-5e-HP M15 LaserJet
0E:EE:99:25:22:D4	 \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
80:2A:A8:D7:F1:4D	 GEOLEO
60:D0:2C:A5:BA:D8	 register.synergywifi.com
60:D0:2C:58:4A:C8	 YOUnion.SynergyWifi.com
60:D0:2C:98:4A:A8	 register.synergywifi.com
F2:97:BA:C3:4C:E0	 
10:DA:43:AD:D9:E8	 NETGEAR01
60:D0:2C:18:4A:A8	 YOUnion.SynergyGuest.com
60:D0:2C:58:46:68	 
60:D0:2C:98:4B:28	 register.synergywifi.com
5C:5B:35:6D:E5:11	 LLamaFi
60:D0:2C:25:B9:F8	 YOUnion.SynergyGuest.com
E2:97:BA:C3:4C:E0	 xfinitywifi
A4:6C:2A:07:73:09	 Nest
60:D0:2C:D8:4A:C8	 YounionStaff
0E:96:E6:61:E0:9D	 DIRECT-9d-HP M477 LaserJet
60:D0:2C:25:BA:98	 YOUnion.SynergyGuest.com
A4:6C:2A:07:73:02	 BdMobileNet
A4:6C:2A:07:73:01	 BdGuestNet
A4:6C:2A:07:73:00	 \x00
60:D0:2C:18:4A:C8	 YOUnion.SynergyGuest.com
A4:6C:2A:07:73:03	 BdWebEx
60:D0:2C:65:BA:D8	 YOUnion.SynergyWifi.com
60:D0:2C:E5:BA:98	 YounionStaff
60:D0:2C:A5:B9:F8	 register.synergywifi.com
60:D0:2C:E5:B9:F8	 YounionStaff
E6:97:BA:C3:4C:E0	 
60:D0:2C:D8:46:68	 YounionStaff
60:D0:2C:A5:BA:98	 register.synergywifi.com
60:D0:2C:65:BA:98	 YOUnion.SynergyWifi.com
D4:5D:DF:7F:E0:C8	 CBCI-B2DA-2.4
28:7A:EE:B7:34:F2	 XFINITY
60:D0:2C:D8:4A:A8	 YounionStaff
28:7A:EE:B7:34:F0	 
28:F3:66:7A:F0:0F	 COUNTCAM_28f3667af00f
60:D0:2C:65:B9:F8	 YOUnion.SynergyWifi.com
60:D0:2C:25:BA:D8	 YOUnion.SynergyGuest.com
00:0D:97:1B:46:55	 
00:0D:67:00:ED:42	 2020WWRoam
00:81:C4:1B:9D:21	 eduroam
00:81:C4:1B:9D:23	 MSetup
00:0D:97:0B:46:55	 
00:81:C4:1B:9D:22	 MGuest
00:0D:67:00:ED:43	 2020WWRoamR
